basin_id,year,expected_days,valid_days,valid_runoff_days,q_completeness,runoff_completeness
03213700,2004,366,358,358,0.9781420765027322,0.9781420765027322
03213700,2005,365,360,360,0.9863013698630136,0.9863013698630136
03213700,2006,365,258,258,0.7068493150684931,0.7068493150684931
03213700,2007,365,91,91,0.2493150684931507,0.2493150684931507
03213700,2008,366,352,352,0.9617486338797814,0.9617486338797814
03213700,2009,365,358,358,0.9808219178082191,0.9808219178082191
03213700,2010,365,347,347,0.9506849315068493,0.9506849315068493
05056000,1995,365,236,236,0.6465753424657534,0.6465753424657534
05056000,1996,366,295,295,0.8060109289617486,0.8060109289617486
05056000,1997,365,179,179,0.4904109589041096,0.4904109589041096
05056000,1998,365,326,326,0.8931506849315068,0.8931506849315068
05056000,1999,365,342,342,0.936986301369863,0.936986301369863
05056000,2000,366,275,275,0.7513661202185792,0.7513661202185792
05056000,2001,365,261,261,0.7150684931506849,0.7150684931506849
05056000,2002,365,340,340,0.9315068493150684,0.9315068493150684
05056000,2003,365,309,309,0.8465753424657534,0.8465753424657534
05056000,2004,366,250,250,0.6830601092896175,0.6830601092896175
05056000,2005,365,243,243,0.6657534246575343,0.6657534246575343
05056000,2006,365,241,241,0.6602739726027397,0.6602739726027397
05056000,2007,365,241,241,0.6602739726027397,0.6602739726027397
05056000,2008,366,251,251,0.6857923497267759,0.6857923497267759
05056000,2009,365,226,226,0.6191780821917808,0.6191780821917808
05056000,2010,365,264,264,0.7232876712328767,0.7232876712328767
05412500,1995,365,149,149,0.40821917808219177,0.40821917808219177
05412500,1996,366,223,223,0.6092896174863388,0.6092896174863388
05412500,1997,365,268,268,0.7342465753424657,0.7342465753424657
05412500,1998,365,255,255,0.6986301369863014,0.6986301369863014
05412500,1999,365,285,285,0.7808219178082192,0.7808219178082192
05412500,2000,366,259,259,0.7076502732240437,0.7076502732240437
05412500,2001,365,267,267,0.7315068493150685,0.7315068493150685
05412500,2002,365,266,266,0.7287671232876712,0.7287671232876712
05412500,2003,365,244,244,0.6684931506849315,0.6684931506849315
05412500,2004,366,259,259,0.7076502732240437,0.7076502732240437
05412500,2005,365,289,289,0.7917808219178082,0.7917808219178082
05412500,2006,365,308,308,0.8438356164383561,0.8438356164383561
05412500,2007,365,263,263,0.7205479452054795,0.7205479452054795
05412500,2008,366,264,264,0.7213114754098361,0.7213114754098361
05412500,2009,365,266,266,0.7287671232876712,0.7287671232876712
05412500,2010,365,280,280,0.7671232876712328,0.7671232876712328
05585000,1995,365,251,251,0.6876712328767123,0.6876712328767123
05585000,1996,366,180,180,0.4918032786885246,0.4918032786885246
05585000,1997,365,211,211,0.5780821917808219,0.5780821917808219
05585000,1998,365,247,247,0.6767123287671233,0.6767123287671233
05585000,1999,365,275,275,0.7534246575342466,0.7534246575342466
05585000,2000,366,299,299,0.8169398907103825,0.8169398907103825
05585000,2001,365,268,268,0.7342465753424657,0.7342465753424657
05585000,2002,365,273,273,0.7479452054794521,0.7479452054794521
05585000,2003,365,295,295,0.8082191780821918,0.8082191780821918
05585000,2004,366,298,298,0.8142076502732241,0.8142076502732241
05585000,2005,365,310,310,0.8493150684931506,0.8493150684931506
05585000,2006,365,345,345,0.9452054794520548,0.9452054794520548
05585000,2007,365,306,306,0.8383561643835616,0.8383561643835616
05585000,2008,366,292,292,0.7978142076502732,0.7978142076502732
05585000,2009,365,330,330,0.9041095890410958,0.9041095890410958
05585000,2010,365,292,292,0.8,0.8
06043500,1995,365,270,270,0.7397260273972602,0.7397260273972602
06043500,1996,366,318,318,0.8688524590163934,0.8688524590163934
06043500,1997,365,321,321,0.8794520547945206,0.8794520547945206
06043500,1998,365,341,341,0.9342465753424658,0.9342465753424658
06043500,1999,365,341,341,0.9342465753424658,0.9342465753424658
06043500,2000,366,363,363,0.9918032786885246,0.9918032786885246
06043500,2001,365,361,361,0.989041095890411,0.989041095890411
06043500,2002,365,364,364,0.9972602739726028,0.9972602739726028
06043500,2003,365,362,362,0.9917808219178083,0.9917808219178083
06043500,2004,366,360,360,0.9836065573770492,0.9836065573770492
06043500,2005,365,343,343,0.9397260273972603,0.9397260273972603
06043500,2006,365,332,332,0.9095890410958904,0.9095890410958904
06043500,2007,365,361,361,0.989041095890411,0.989041095890411
06043500,2008,366,352,352,0.9617486338797814,0.9617486338797814
06043500,2009,365,342,342,0.936986301369863,0.936986301369863
06043500,2010,365,347,347,0.9506849315068493,0.9506849315068493
06339500,1995,365,0,0,0.0,0.0
06339500,1996,366,0,0,0.0,0.0
06339500,1997,365,30,30,0.0821917808219178,0.0821917808219178
06339500,1998,365,207,207,0.5671232876712329,0.5671232876712329
06339500,1999,365,216,216,0.5917808219178082,0.5917808219178082
06339500,2000,366,254,254,0.6939890710382514,0.6939890710382514
06339500,2001,365,231,231,0.6328767123287671,0.6328767123287671
06339500,2002,365,239,239,0.6547945205479452,0.6547945205479452
06339500,2003,365,239,239,0.6547945205479452,0.6547945205479452
06339500,2004,366,261,261,0.7131147540983607,0.7131147540983607
06339500,2005,365,272,272,0.7452054794520548,0.7452054794520548
06339500,2006,365,284,284,0.7780821917808219,0.7780821917808219
06339500,2007,365,211,211,0.5780821917808219,0.5780821917808219
06339500,2008,366,175,175,0.4781420765027322,0.4781420765027322
06339500,2009,365,228,228,0.6246575342465753,0.6246575342465753
06339500,2010,365,232,232,0.6356164383561644,0.6356164383561644
06353000,1995,365,0,0,0.0,0.0
06353000,1996,366,0,0,0.0,0.0
06353000,1997,365,0,0,0.0,0.0
06353000,1998,365,0,0,0.0,0.0
06353000,1999,365,0,0,0.0,0.0
06353000,2000,366,0,0,0.0,0.0
06353000,2001,365,42,42,0.11506849315068493,0.11506849315068493
06353000,2002,365,230,230,0.6301369863013698,0.6301369863013698
06353000,2003,365,226,226,0.6191780821917808,0.6191780821917808
06353000,2004,366,200,200,0.546448087431694,0.546448087431694
06353000,2005,365,221,221,0.6054794520547945,0.6054794520547945
06353000,2006,365,185,185,0.5068493150684932,0.5068493150684932
06353000,2007,365,216,216,0.5917808219178082,0.5917808219178082
06353000,2008,366,203,203,0.5546448087431693,0.5546448087431693
06353000,2009,365,215,215,0.589041095890411,0.589041095890411
06353000,2010,365,231,231,0.6328767123287671,0.6328767123287671
06441500,1995,365,250,250,0.684931506849315,0.684931506849315
06441500,1996,366,244,244,0.6666666666666666,0.6666666666666666
06441500,1997,365,203,203,0.5561643835616439,0.5561643835616439
06441500,1998,365,256,256,0.7013698630136986,0.7013698630136986
06441500,1999,365,270,270,0.7397260273972602,0.7397260273972602
06441500,2000,366,252,252,0.6885245901639344,0.6885245901639344
06441500,2001,365,239,239,0.6547945205479452,0.6547945205479452
